sale_date,store_name,city,state,sku,product_name,category,quantity,unit_price,discount
2025-04-18,Loja Asa Norte,Brasília,DF,SKU-007,Headset Gamer,Áudio,21,242.05,0.0
2025-07-12,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-002,Teclado Mecânico,Periféricos,22,182.23,0.0
2025-08-16,Loja Asa Norte,Brasília,DF,SKU-013,Pen Drive 128GB,Armazenamento,2,70.09,0.0
2025-04-12,Loja Batel,Curitiba,PR,SKU-008,Caixa de Som Bluetooth,Áudio,10,153.62,0.0
2025-09-10,Loja Asa Norte,Brasília,DF,SKU-012,SSD Externo 1TB,Armazenamento,12,412.63,0.0
2025-07-30,Loja Batel,Curitiba,PR,SKU-001,Mouse Sem Fio,Periféricos,2,48.33,3.08
2025-03-25,Loja Centro SP,São Paulo,SP,SKU-009,Mousepad Gamer XL,Acessórios,6,94.2,0.0
2025-12-25,Loja Savassi,Belo Horizonte,MG,SKU-002,Teclado Mecânico,Periféricos,17,189.57,484.65
2025-04-01,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-010,Cabo HDMI 2m,Cabos,1,35.83,0.0
2025-11-12,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-002,Teclado Mecânico,Periféricos,12,182.66,0.0
2025-09-03,Loja Savassi,Belo Horizonte,MG,SKU-002,Teclado Mecânico,Periféricos,9,182.48,0.0
2025-11-08,Loja Batel,Curitiba,PR,SKU-004,Suporte Monitor,Mobiliário,25,131.61,0.0
2025-10-24,Loja Batel,Curitiba,PR,SKU-010,Cabo HDMI 2m,Cabos,19,35.8,0.0
2025-08-22,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,1,177.95,0.0
2025-09-11,Loja Savassi,Belo Horizonte,MG,SKU-005,Webcam Full HD,Periféricos,23,195.33,156.3
2025-05-24,Loja Batel,Curitiba,PR,SKU-006,"Capa Notebook 15""",Acessórios,16,62.87,0.0
2025-12-19,Loja Asa Norte,Brasília,DF,SKU-002,Teclado Mecânico,Periféricos,24,180.5,0.0
2025-09-11,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-015,Luz LED para Mesa,Iluminação,2,188.09,0.0
2025-10-23,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,13,176.98,0.0
2025-05-05,Loja Batel,Curitiba,PR,SKU-001,Mouse Sem Fio,Periféricos,7,52.38,52.92
2025-03-04,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,16,190.95,176.37
2025-05-05,Loja Centro SP,São Paulo,SP,SKU-001,Mouse Sem Fio,Periféricos,15,52.16,0.0
2025-06-02,Loja Batel,Curitiba,PR,SKU-014,Filtro de Tela Privacidade,Acessórios,17,151.18,194.06
2025-08-30,Loja Savassi,Belo Horizonte,MG,SKU-007,Headset Gamer,Áudio,23,249.38,301.83
2025-12-08,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,2,154.78,0.0
2025-11-23,Loja Savassi,Belo Horizonte,MG,SKU-004,Suporte Monitor,Mobiliário,2,131.46,0.0
2025-07-20,Loja Batel,Curitiba,PR,SKU-014,Filtro de Tela Privacidade,Acessórios,22,145.91,0.0
2025-10-16,Loja Centro SP,São Paulo,SP,SKU-006,"Capa Notebook 15""",Acessórios,4,61.81,12.85
2025-02-07,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,1,78.39,0.0
2025-05-21,Loja Savassi,Belo Horizonte,MG,SKU-006,"Capa Notebook 15""",Acessórios,8,60.83,0.0
2025-06-23,Loja Batel,Curitiba,PR,SKU-008,Caixa de Som Bluetooth,Áudio,19,166.77,0.0
2025-03-24,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,23,208.56,0.0
2025-08-06,Loja Savassi,Belo Horizonte,MG,SKU-010,Cabo HDMI 2m,Cabos,3,34.01,0.0
2025-09-09,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,14,163.76,101.87
2025-03-16,Loja Savassi,Belo Horizonte,MG,SKU-004,Suporte Monitor,Mobiliário,14,133.37,58.84
2025-11-09,Loja Savassi,Belo Horizonte,MG,SKU-013,Pen Drive 128GB,Armazenamento,18,67.73,0.0
2025-03-15,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-001,Mouse Sem Fio,Periféricos,19,49.21,0.0
2025-07-27,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,16,165.77,194.52
2025-12-05,Loja Savassi,Belo Horizonte,MG,SKU-004,Suporte Monitor,Mobiliário,1,124.79,0.0
2025-11-02,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-013,Pen Drive 128GB,Armazenamento,24,66.58,0.0
2025-03-23,Loja Batel,Curitiba,PR,SKU-006,"Capa Notebook 15""",Acessórios,22,60.18,87.44
2025-05-25,Loja Savassi,Belo Horizonte,MG,SKU-001,Mouse Sem Fio,Periféricos,22,48.91,0.0
2025-08-19,Loja Batel,Curitiba,PR,SKU-011,Carregador USB-C 65W,Energia,3,114.01,0.0
2025-06-04,Loja Asa Norte,Brasília,DF,SKU-001,Mouse Sem Fio,Periféricos,2,49.31,3.94
2025-09-10,Loja Asa Norte,Brasília,DF,SKU-002,Teclado Mecânico,Periféricos,12,191.78,0.0
2025-10-05,Loja Batel,Curitiba,PR,SKU-003,Hub USB-C,Acessórios,24,82.58,0.0
2025-07-31,Loja Savassi,Belo Horizonte,MG,SKU-013,Pen Drive 128GB,Armazenamento,10,73.3,0.0
2025-08-01,Loja Savassi,Belo Horizonte,MG,SKU-012,SSD Externo 1TB,Armazenamento,3,391.17,0.0
2025-10-22,Loja Asa Norte,Brasília,DF,SKU-015,Luz LED para Mesa,Iluminação,20,188.03,133.56
2025-01-28,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,8,196.03,0.0
2025-06-15,Loja Batel,Curitiba,PR,SKU-006,"Capa Notebook 15""",Acessórios,3,60.43,0.0
2025-06-21,Loja Savassi,Belo Horizonte,MG,SKU-012,SSD Externo 1TB,Armazenamento,13,395.27,288.01
2025-08-22,Loja Asa Norte,Brasília,DF,SKU-011,Carregador USB-C 65W,Energia,2,113.92,9.87
2025-08-01,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-005,Webcam Full HD,Periféricos,1,209.48,0.0
2025-10-20,Loja Asa Norte,Brasília,DF,SKU-015,Luz LED para Mesa,Iluminação,22,187.77,0.0
2025-01-06,Loja Asa Norte,Brasília,DF,SKU-012,SSD Externo 1TB,Armazenamento,17,390.44,367.61
2025-12-01,Loja Savassi,Belo Horizonte,MG,SKU-008,Caixa de Som Bluetooth,Áudio,22,161.79,198.42
2025-07-23,Loja Batel,Curitiba,PR,SKU-001,Mouse Sem Fio,Periféricos,17,48.64,0.0
2025-10-29,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-008,Caixa de Som Bluetooth,Áudio,9,156.28,68.93
2025-04-14,Loja Centro SP,São Paulo,SP,SKU-012,SSD Externo 1TB,Armazenamento,13,396.83,0.0
2025-07-27,Loja Asa Norte,Brasília,DF,SKU-012,SSD Externo 1TB,Armazenamento,13,381.47,0.0
2025-03-26,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,23,162.27,0.0
2025-07-23,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-012,SSD Externo 1TB,Armazenamento,11,383.89,0.0
2025-12-18,Loja Batel,Curitiba,PR,SKU-009,Mousepad Gamer XL,Acessórios,2,91.55,14.32
2025-07-23,Loja Asa Norte,Brasília,DF,SKU-002,Teclado Mecânico,Periféricos,17,183.95,488.05
2025-05-14,Loja Centro SP,São Paulo,SP,SKU-011,Carregador USB-C 65W,Energia,6,120.43,0.0
2025-08-23,Loja Savassi,Belo Horizonte,MG,SKU-008,Caixa de Som Bluetooth,Áudio,5,163.66,0.0
2025-11-21,Loja Asa Norte,Brasília,DF,SKU-002,Teclado Mecânico,Periféricos,22,195.54,0.0
2025-04-19,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-012,SSD Externo 1TB,Armazenamento,16,413.49,0.0
2025-04-17,Loja Savassi,Belo Horizonte,MG,SKU-006,"Capa Notebook 15""",Acessórios,20,60.48,0.0
2025-10-14,Loja Centro SP,São Paulo,SP,SKU-001,Mouse Sem Fio,Periféricos,24,48.21,0.0
2025-04-26,Loja Asa Norte,Brasília,DF,SKU-010,Cabo HDMI 2m,Cabos,24,34.93,0.0
2025-03-17,Loja Centro SP,São Paulo,SP,SKU-013,Pen Drive 128GB,Armazenamento,13,72.05,0.0
2025-12-22,Loja Savassi,Belo Horizonte,MG,SKU-003,Hub USB-C,Acessórios,19,77.41,55.06
2025-07-17,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-001,Mouse Sem Fio,Periféricos,19,51.05,0.0
2025-06-21,Loja Batel,Curitiba,PR,SKU-002,Teclado Mecânico,Periféricos,8,181.62,0.0
2025-12-02,Loja Centro SP,São Paulo,SP,SKU-001,Mouse Sem Fio,Periféricos,11,52.33,0.0
2025-03-15,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-013,Pen Drive 128GB,Armazenamento,5,73.28,12.57
2025-06-01,Loja Asa Norte,Brasília,DF,SKU-010,Cabo HDMI 2m,Cabos,22,34.81,0.0
2025-02-20,Loja Savassi,Belo Horizonte,MG,SKU-009,Mousepad Gamer XL,Acessórios,22,90.45,0.0
